acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),38005.200000047684,I,z,2037,,,2,yes,1,3557.399999976158,34447.800000071526,NBGFSM,NBGFSM,9002,LC,A,,,1
2,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),41871.5,I,z,2325,,,6,yes,1,3855.2999999523163,38016.200000047684,CSDBFPHXZ,CSDBFPHXZ,9002,LC,A,,,2
3,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),44754.800000071526,I,z,1357,,,4,yes,1,2874.8000000715256,41880.0,RSM,RSM,9002,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),47255.10000002384,I,m,970,,,1,no,1,2491.2999999523163,44763.800000071526,RNV,FNV,9002,LC,A,,,4
5,1,0.0,prac,1,m,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),50721.300000071526,I,m,1925,,,5,no,1,3457.100000023842,47264.200000047684,LNDPRSKQB,LNDPRSJQB,9002,LC,A,,,5
6,1,0.0,prac,1,m,30000.0,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),53621.5,I,m,1371,,,3,no,1,2891.0,50730.5,QHZXPC,QHZWPC,9002,LC,A,,,6
1,1,1.1159999370574951,test,1,m,28884.000062942505,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),65155.200000047684,I,m,1096,1096,,1,no,1,1109.3999999761581,64045.800000071526,HCF,RCF,9002,LC,A,62063,,1
2,1,3.232999801635742,test,1,m,26767.000198364258,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),67271.80000007153,I,m,2107,2107,,2,no,1,2109.7000000476837,65162.10000002384,QTPRJX,QTPNJX,9002,LC,A,63180,,2
3,1,5.298999786376953,test,1,m,24701.000213623047,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),69338.20000004768,I,m,2053,2053,,3,no,1,2058.600000023842,67279.60000002384,MZDYGVGKQ,MZDYGLBKQ,9002,LC,A,65297,,3
4,1,6.765999794006348,test,1,m,23234.000205993652,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),70804.90000009537,I,m,1443,1443,,4,no,1,1458.7000000476837,69346.20000004768,FQTNMK,JQTNMK,9002,LC,A,67364,,4
5,1,7.848999977111816,test,1,z,22151.000022888184,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),71888.40000009537,I,z,1065,1065,,5,yes,1,1076.1000000238419,70812.30000007153,CLJ,CLJ,9002,LC,A,68830,,5
5,1,10.498999834060669,test,0,m,19501.00016593933,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),74538.40000009537,I,z,2637,2637,,6,no,1,2642.7000000476837,71895.70000004768,JGDMNSVPW,JGZMNSVPW,9002,LC,A,69914,,6
6,1,12.881999969482422,test,1,z,17118.000030517578,Fri Oct 11 2024 12:44:42 GMT-0400 (Eastern Daylight Time),76921.5,I,z,2372,2372,,7,yes,1,2376.0999999046326,74545.40000009537,FPTVHKCBJ,FPTVHKCBJ,9002,LC,A,72563,,7
