acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),40678.0,O,z,3120,,,6,yes,1,4644.0,36034.0,CSDBFPHXZ,CSDBFPHXZ,7022,LC,C,,,1
2,1,0.0,prac,1,m,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),44409.39999997616,O,m,2174,,,5,no,1,3704.899999976158,40704.5,LNDPRSKQB,LNDPRSJQB,7022,LC,C,,,2
3,1,0.0,prac,1,z,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),47974.89999997616,O,z,2036,,,2,yes,1,3560.0,44414.89999997616,NBGFSM,NBGFSM,7022,LC,C,,,3
4,1,0.0,prac,1,m,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),51007.699999928474,O,m,1495,,,1,no,1,3027.2999999523163,47980.39999997616,RNV,FNV,7022,LC,C,,,4
5,1,0.0,prac,1,m,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),54723.199999928474,O,m,2174,,,3,no,1,3695.7999999523163,51027.39999997616,QHZXPC,QHZWPC,7022,LC,C,,,5
6,1,0.0,prac,1,z,30000.0,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),57955.39999997616,O,z,1684,,,4,yes,1,3213.3000000715256,54742.09999990463,RSM,RSM,7022,LC,C,,,6
1,1,1.683000087738037,test,1,m,28316.999912261963,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),66386.59999990463,O,m,1668,1668,,1,no,1,1675.1999999284744,64711.39999997616,HCF,RCF,7022,LC,C,60291,,1
2,1,4.131999969482422,test,1,m,25868.000030517578,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),68835.79999995232,O,m,2416,2416,,2,no,1,2434.899999976158,66400.89999997616,QTPRJX,QTPNJX,7022,LC,C,61982,,2
3,1,7.0980000495910645,test,1,m,22901.999950408936,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),71801.0,O,m,2942,2942,,3,no,1,2951.100000023842,68849.89999997616,MZDYGVGKQ,MZDYGLBKQ,7022,LC,C,64433,,3
4,1,9.314000129699707,test,1,m,20685.999870300293,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),74017.09999990463,O,m,2186,2186,,4,no,1,2202.0,71815.09999990463,FQTNMK,JQTNMK,7022,LC,C,67397,,4
5,1,11.013000011444092,test,1,z,18986.99998855591,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),75717.0,O,z,1682,1682,,5,yes,1,1685.6000000238419,74031.39999997616,CLJ,CLJ,7022,LC,C,69613,,5
5,1,14.227999925613403,test,0,m,15772.000074386597,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),78931.79999995232,O,z,3190,3190,,6,no,1,3200.5,75731.29999995232,JGDMNSVPW,JGZMNSVPW,7022,LC,C,71313,,6
6,1,18.47699999809265,test,1,z,11523.000001907349,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),83180.59999990463,O,z,4215,4215,,7,yes,1,4234.299999952316,78946.29999995232,FPTVHKCBJ,FPTVHKCBJ,7022,LC,C,74528,,7
7,1,20.193000078201294,test,1,m,9806.999921798706,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),84896.09999990463,O,m,1693,1693,,8,no,1,1701.0999999046326,83195.0,XRPZBS,ZRPBDH,7022,LC,C,78777,,8
8,1,22.108999967575073,test,1,m,7891.000032424927,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),86812.79999995232,O,m,1911,1911,,9,no,1,1912.1000000238419,84900.69999992847,ZSQ,ZSP,7022,LC,C,80480,,9
9,1,24.77500009536743,test,1,z,5224.999904632568,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),89478.69999992847,O,z,2639,2639,,10,yes,1,2651.7999999523163,86826.89999997616,MPZRXL,MPZRXL,7022,LC,C,82408,,10
10,1,26.44099998474121,test,1,m,3559.000015258789,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),91144.79999995232,O,m,1637,1637,,11,no,1,1652.2000000476837,89492.59999990463,KJH,KRH,7022,LC,C,85074,,11
10,1,28.723000049591064,test,0,z,1276.9999504089355,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),93426.59999990463,O,m,2260,2260,,12,yes,1,2268.6999999284744,91157.89999997616,SMNHVTFCB,SMNHVTFCB,7022,LC,C,86739,,12
10,1,30.006999969482422,test,0,z,-6.999969482421875,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),94710.5,O,None,1278,1278,,13,yes,1,1279.0,93431.5,KJWTQF,KJWTQF,7022,LC,C,89011,,13
1,2,2.8320000171661377,test,1,z,27167.999982833862,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),100458.59999990463,O,z,2803,,2803.0,1,yes,1,7027.099999904633,93431.5,PRDBZTYFN,PRDBZTYFN,7022,LC,C,,93220.0,1
2,2,4.81499981880188,test,1,m,25185.00018119812,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),102441.0,O,m,1960,,1960.0,2,no,1,9009.5,93431.5,NCWJDZ,NCMJDZ,7022,LC,C,,96055.0,2
3,2,6.414000034332275,test,1,m,23585.999965667725,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),104040.29999995232,O,m,1580,,1580.0,3,no,1,10608.799999952316,93431.5,KHW,KBW,7022,LC,C,,98035.0,3
4,2,8.462999820709229,test,1,m,21537.00017929077,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),106089.69999992847,O,m,2032,,2032.0,4,no,1,12658.199999928474,93431.5,ZRBGMF,ZRBCMF,7022,LC,C,,99631.0,4
5,2,10.178999900817871,test,1,m,19821.00009918213,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),107805.69999992847,O,m,1696,,1696.0,5,no,1,14374.199999928474,93431.5,BTH,BYH,7022,LC,C,,101687.0,5
6,2,12.444999933242798,test,1,z,17555.000066757202,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),110071.79999995232,O,z,2247,,2247.0,6,yes,1,16640.299999952316,93431.5,XWKQRYCNZ,XWKQRYCNZ,7022,LC,C,,103400.0,6
7,2,14.577999830245972,test,1,z,15422.000169754028,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),112204.29999995232,O,z,2110,,2110.0,7,yes,1,18772.799999952316,93431.5,HNPDLK,HNPDLK,7022,LC,C,,105665.0,7
8,2,17.026999950408936,test,1,m,12973.000049591064,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),114653.59999990463,O,m,2425,,2425.0,8,no,1,21222.099999904633,93431.5,WMQTRSGLZ,WMQTRZGLZ,7022,LC,C,,107798.0,8
9,2,18.927000045776367,test,1,z,11072.999954223633,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),116553.09999990463,O,z,1879,,1879.0,9,yes,1,23121.599999904633,93431.5,JPN,JPN,7022,LC,C,,110248.0,9
10,2,20.743000030517578,test,1,m,9256.999969482422,Tue Oct 01 2024 16:55:23 GMT-0500 (Central Daylight Time),118369.19999992847,O,m,1788,,1788.0,10,no,1,24937.699999928474,93431.5,QLXSVT,QLNSVT,7022,LC,C,,112147.0,10
