acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
0,1,0.0,prac,0,m,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),44106.29999998212,I,z,1341,,,3,no,1,2861.699999988079,41244.59999999404,QHZXPC,QHZWPC,8001,LC,A,,,1
1,1,0.0,prac,1,z,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),46755.5,I,z,1122,,,4,yes,1,2643.9000000059605,44111.59999999404,RSM,RSM,8001,LC,A,,,2
2,1,0.0,prac,1,z,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),50537.59999999404,I,z,2250,,,6,yes,1,3778.0999999940395,46759.5,CSDBFPHXZ,CSDBFPHXZ,8001,LC,A,,,3
3,1,0.0,prac,1,m,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),53919.90000000596,I,m,1859,,,5,no,1,3377.7000000178814,50542.19999998808,LNDPRSKQB,LNDPRSJQB,8001,LC,A,,,4
4,1,0.0,prac,1,z,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),57118.90000000596,I,z,1677,,,2,yes,1,3194.4000000059605,53924.5,NBGFSM,NBGFSM,8001,LC,A,,,5
5,1,0.0,prac,1,m,30000.0,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),60151.19999998808,I,m,1502,,,1,no,1,3027.9000000059605,57123.29999998212,RNV,FNV,8001,LC,A,,,6
1,1,1.2999999523162842,test,1,m,28700.000047683716,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),69298.79999998212,I,m,1281,1281,,1,no,1,1297.0,68001.79999998212,HCF,RCF,8001,LC,A,66158,,1
2,1,3.431999921798706,test,1,m,26568.000078201294,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),71431.19999998808,I,m,2115,2115,,2,no,1,2129.199999988079,69302.0,QTPRJX,QTPNJX,8001,LC,A,67459,,2
2,1,5.664999961853027,test,0,m,24335.000038146973,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),73663.79999998212,I,z,2222,2222,,3,no,1,2229.0,71434.79999998212,MZDYGVGKQ,MZDYGLBKQ,8001,LC,A,69591,,3
3,1,7.414000034332275,test,1,m,22585.999965667725,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),75413.0,I,m,1742,1742,,4,no,1,1745.9000000059605,73667.09999999404,FQTNMK,JQTNMK,8001,LC,A,71824,,4
4,1,9.330999851226807,test,1,z,20669.000148773193,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),77329.59999999404,I,z,1905,1905,,5,yes,1,1913.300000011921,75416.29999998212,CLJ,CLJ,8001,LC,A,73573,,5
5,1,11.312999963760376,test,1,m,18687.000036239624,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),79312.09999999404,I,m,1965,1965,,6,no,1,1979.199999988079,77332.90000000596,JGDMNSVPW,JGZMNSVPW,8001,LC,A,75489,,6
6,1,13.279000043869019,test,1,z,16720.99995613098,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),81278.29999998212,I,z,1958,1958,,7,yes,1,1962.8999999761581,79315.40000000596,FPTVHKCBJ,FPTVHKCBJ,8001,LC,A,77472,,7
7,1,15.128999948501587,test,1,m,14871.000051498413,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),83127.5,I,m,1832,1832,,8,no,1,1846.2000000178814,81281.29999998212,XRPZBS,ZRPBDH,8001,LC,A,79438,,8
8,1,16.34500002861023,test,1,m,13654.99997138977,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),84343.79999998212,I,m,1207,1207,,9,no,1,1213.2999999821186,83130.5,ZSQ,ZSP,8001,LC,A,81287,,9
9,1,18.24399995803833,test,1,z,11756.00004196167,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),86243.0,I,z,1894,1894,,10,yes,1,1895.800000011921,84347.19999998808,MPZRXL,MPZRXL,8001,LC,A,82504,,10
10,1,19.560999870300293,test,1,m,10439.000129699707,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),87559.29999998212,I,m,1307,1307,,11,no,1,1313.199999988079,86246.09999999404,KJH,KRH,8001,LC,A,84402,,11
11,1,22.425999879837036,test,1,z,7574.000120162964,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),90425.19999998808,I,z,2855,2855,,12,yes,1,2863.0,87562.19999998808,SMNHVTFCB,SMNHVTFCB,8001,LC,A,85719,,12
12,1,25.358999967575073,test,1,z,4641.000032424927,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),93357.5,I,z,2917,2917,,13,yes,1,2929.0999999940395,90428.40000000596,KJWTQF,KJWTQF,8001,LC,A,88585,,13
13,1,28.924999952316284,test,1,z,1075.0000476837158,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),96924.19999998808,I,z,3561,3561,,14,yes,1,3563.5999999940395,93360.59999999404,CHDKQGLMB,CHDKQGLMB,8001,LC,A,91517,,14
13,1,30.007999897003174,test,0,z,-7.999897003173828,Fri Sep 20 2024 15:22:28 GMT-0500 (Central Daylight Time),98006.5,I,None,1078,1078,,15,yes,1,1078.5,96928.0,GHQ,GHQ,8001,LC,A,95084,,15
