composite,rank,index,sub_name
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
36848,1,,jc
