acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),43998.59999996424,O,z,2053,,,2,yes,1,3578.399999976158,40420.19999998808,NBGFSM,NBGFSM,7019,LC,C,,,1
2,1,0.0,prac,1,z,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),46364.59999996424,O,z,830,,,4,yes,1,2361.099999964237,44003.5,RSM,RSM,7019,LC,C,,,2
3,1,0.0,prac,1,z,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),50646.59999996424,O,z,2745,,,6,yes,1,4278.299999952316,46368.30000001192,CSDBFPHXZ,CSDBFPHXZ,7019,LC,C,,,3
4,1,0.0,prac,1,m,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),54711.80000001192,O,m,2542,,,3,no,1,4060.7000000476837,50651.09999996424,QHZXPC,QHZWPC,7019,LC,C,,,4
5,1,0.0,prac,1,m,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),58927.0,O,m,2685,,,5,no,1,4210.800000011921,54716.19999998808,LNDPRSKQB,LNDPRSJQB,7019,LC,C,,,5
6,1,0.0,prac,1,m,30000.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),61609.5,O,m,1158,,,1,no,1,2678.5,58931.0,RNV,FNV,7019,LC,C,,,6
1,1,1.383000135421753,test,1,m,28616.999864578247,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),72872.80000001192,O,m,1365,1365,,1,no,1,1380.1000000238419,71492.69999998808,HCF,RCF,7019,LC,C,63986,,1
2,1,3.8989999294281006,test,1,m,26101.0000705719,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),75388.80000001192,O,m,2501,2501,,2,no,1,2512.400000035763,72876.39999997616,QTPRJX,QTPNJX,7019,LC,C,65370,,2
3,1,6.29800009727478,test,1,m,23701.99990272522,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),77787.89999997616,O,m,2393,2393,,3,no,1,2395.800000011921,75392.09999996424,MZDYGVGKQ,MZDYGLBKQ,7019,LC,C,67886,,3
4,1,7.482000112533569,test,1,m,22517.99988746643,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),78972.0,O,m,1178,1178,,4,no,1,1180.699999988079,77791.30000001192,FQTNMK,JQTNMK,7019,LC,C,70285,,4
5,1,8.680999994277954,test,1,z,21319.000005722046,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),80170.69999998808,O,z,1186,1186,,5,yes,1,1195.5,78975.19999998808,CLJ,CLJ,7019,LC,C,71469,,5
6,1,10.36299991607666,test,1,m,19637.00008392334,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),81853.19999998808,O,m,1676,1676,,6,no,1,1679.5,80173.69999998808,JGDMNSVPW,JGZMNSVPW,7019,LC,C,72667,,6
7,1,15.661999940872192,test,1,z,14338.000059127808,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),87151.59999996424,O,z,5280,5280,,7,yes,1,5293.899999976158,81857.69999998808,FPTVHKCBJ,FPTVHKCBJ,7019,LC,C,74351,,7
8,1,17.16100001335144,test,1,m,12838.99998664856,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),88651.09999996424,O,m,1487,1487,,8,no,1,1496.2999999523163,87154.80000001192,XRPZBS,ZRPBDH,7019,LC,C,79648,,8
9,1,18.844000101089478,test,1,m,11155.999898910522,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),90333.69999998808,O,m,1676,1676,,9,no,1,1679.699999988079,88654.0,ZSQ,ZSP,7019,LC,C,81147,,9
10,1,21.293999910354614,test,1,z,8706.000089645386,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),92783.30000001192,O,z,2433,2433,,10,yes,1,2446.400000035763,90336.89999997616,MPZRXL,MPZRXL,7019,LC,C,82830,,10
11,1,23.07699990272522,test,1,m,6923.00009727478,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),94567.09999996424,O,m,1775,1775,,11,no,1,1780.699999988079,92786.39999997616,KJH,KRH,7019,LC,C,85280,,11
12,1,26.875,test,1,z,3125.0,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),98364.39999997616,O,z,3790,3790,,12,yes,1,3794.0,94570.39999997616,SMNHVTFCB,SMNHVTFCB,7019,LC,C,87064,,12
13,1,29.008000135421753,test,1,z,991.9998645782471,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),100497.5,O,z,2123,2123,,13,yes,1,2130.600000023842,98366.89999997616,KJWTQF,KJWTQF,7019,LC,C,90860,,13
13,1,30.006999969482422,test,0,z,-6.999969482421875,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),101497.0,O,None,996,996,,14,yes,1,996.4000000357628,100500.59999996424,CHDKQGLMB,CHDKQGLMB,7019,LC,C,92994,,14
1,2,4.315999984741211,test,1,z,25684.00001525879,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),107445.19999998808,O,z,4308,,4308.0,1,yes,1,6944.600000023842,100500.59999996424,PRDBZTYFN,PRDBZTYFN,7019,LC,C,,95627.0,1
2,2,6.047999858856201,test,1,m,23952.0001411438,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),109177.59999996424,O,m,1728,,1728.0,2,no,1,8677.0,100500.59999996424,NCWJDZ,NCMJDZ,7019,LC,C,,99942.0,2
3,2,7.130999803543091,test,1,m,22869.00019645691,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),110260.89999997616,O,m,1077,,1077.0,3,no,1,9760.300000011921,100500.59999996424,KHW,KBW,7019,LC,C,,101674.0,3
4,2,8.863999843597412,test,1,m,21136.000156402588,Tue Sep 24 2024 17:54:57 GMT-0500 (Central Daylight Time),111993.89999997616,O,m,1713,,1713.0,4,no,1,11493.300000011921,100500.59999996424,ZRBGMF,ZRBCMF,7019,LC,C,,102758.0,4
