acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),41158.59999999404,O,z,2028,,,2,yes,1,3544.7999999970198,37613.79999999702,NBGFSM,NBGFSM,7025,LC,A,,,1
2,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),44757.39999999851,O,z,2060,,,6,yes,1,3593.60000000149,41163.79999999702,CSDBFPHXZ,CSDBFPHXZ,7025,LC,A,,,2
3,1,0.0,prac,1,m,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),47507.59999999404,O,m,1216,,,3,no,1,2746.0,44761.59999999404,QHZXPC,QHZWPC,7025,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),50006.5,O,m,969,,,1,no,1,2494.3000000044703,47512.19999999553,RNV,FNV,7025,LC,A,,,4
4,1,0.0,prac,0,m,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),53271.19999999553,O,z,1742,,,5,no,1,3260.39999999851,50010.79999999702,LNDPRSKQB,LNDPRSJQB,7025,LC,A,,,5
5,1,0.0,prac,1,z,30000.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),55767.69999999553,O,z,862,,,4,yes,1,2492.1999999955297,53275.5,RSM,RSM,7025,LC,A,,,6
1,1,1.4169998168945312,test,1,m,28583.00018310547,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),67383.69999999553,O,m,1407,1407,,1,no,1,1413.5,65970.19999999553,HCF,RCF,7025,LC,A,60408,,1
1,1,3.6989998817443848,test,0,m,26301.000118255615,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),69666.29999999702,O,z,2271,2271,,2,no,1,2279.39999999851,67386.89999999851,QTPRJX,QTPNJX,7025,LC,A,61824,,2
2,1,6.082000017166138,test,1,m,23917.999982833862,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),72048.79999999702,O,m,2364,2364,,3,no,1,2379.2000000029802,69669.59999999404,MZDYGVGKQ,MZDYGLBKQ,7025,LC,A,64107,,3
3,1,7.480999946594238,test,1,m,22519.00005340576,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),73448.29999999702,O,m,1381,1381,,4,no,1,1396.2000000029802,72052.09999999404,FQTNMK,JQTNMK,7025,LC,A,66490,,4
4,1,8.598000049591064,test,1,z,21401.999950408936,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),74564.59999999404,O,z,1102,1102,,5,yes,1,1113.0999999940395,73451.5,CLJ,CLJ,7025,LC,A,67889,,5
5,1,10.030999898910522,test,1,m,19969.000101089478,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),75997.59999999404,O,m,1418,1418,,6,no,1,1429.7999999970198,74567.79999999702,JGDMNSVPW,JGZMNSVPW,7025,LC,A,69005,,6
5,1,12.495999813079834,test,0,z,17504.000186920166,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),78463.5,O,m,2449,2449,,7,yes,1,2462.60000000149,76000.89999999851,FPTVHKCBJ,FPTVHKCBJ,7025,LC,A,70438,,7
6,1,14.029000043869019,test,1,m,15970.999956130981,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),79996.19999999553,O,m,1526,1526,,8,no,1,1529.2999999970198,78466.89999999851,XRPZBS,ZRPBDH,7025,LC,A,72904,,8
7,1,15.046000003814697,test,1,m,14953.999996185303,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),81012.59999999404,O,m,1010,1010,,9,no,1,1013.0999999940395,79999.5,ZSQ,ZSP,7025,LC,A,74437,,9
8,1,16.644999980926514,test,1,z,13355.000019073486,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),82612.0,O,z,1594,1594,,10,yes,1,1596.0,81016.0,MPZRXL,MPZRXL,7025,LC,A,75453,,10
9,1,17.59500002861023,test,1,m,12404.99997138977,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),83562.0,O,m,946,946,,11,no,1,946.9000000059605,82615.09999999404,KJH,KRH,7025,LC,A,77053,,11
10,1,19.893999814987183,test,1,z,10106.000185012817,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),85861.09999999404,O,z,2285,2285,,12,yes,1,2296.2999999970198,83564.79999999702,SMNHVTFCB,SMNHVTFCB,7025,LC,A,78002,,12
11,1,21.376999855041504,test,1,z,8623.000144958496,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),87344.09999999404,O,z,1472,1472,,13,yes,1,1478.7999999970198,85865.29999999702,KJWTQF,KJWTQF,7025,LC,A,80303,,13
11,1,23.325999975204468,test,0,z,6674.000024795532,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),89292.89999999851,O,m,1941,1941,,14,yes,1,1945.6000000014901,87347.29999999702,CHDKQGLMB,CHDKQGLMB,7025,LC,A,81785,,14
12,1,24.258999824523926,test,1,z,5741.000175476074,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),90226.5,O,z,914,914,,15,yes,1,930.5,89296.0,GHQ,GHQ,7025,LC,A,83733,,15
13,1,25.575999975204468,test,1,z,4424.000024795532,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),91542.79999999702,O,z,1300,1300,,16,yes,1,1313.0,90229.79999999702,GFVMRH,GFVMRH,7025,LC,A,84667,,16
14,1,26.375,test,1,z,3625.0,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),92342.29999999702,O,z,792,792,,17,yes,1,796.3999999985099,91545.89999999851,RSM,RSM,7025,LC,A,85983,,17
15,1,27.691999912261963,test,1,m,2308.000087738037,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),93658.69999999553,O,m,1304,1304,,18,no,1,1312.7999999970198,92345.89999999851,BSRJTRMLG,BSFJTRMLG,7025,LC,A,86783,,18
16,1,29.35800004005432,test,1,z,641.9999599456787,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),95324.59999999404,O,z,1652,1652,,19,yes,1,1662.6999999955297,93661.89999999851,NBGFSM,NBGFSM,7025,LC,A,88099,,19
16,1,30.007999897003174,test,0,z,-7.999897003173828,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),95974.69999999553,O,None,647,647,,20,yes,1,647.1000000014901,95327.59999999404,JQKBPLXGY,JQKBPLXGY,7025,LC,A,89765,,20
1,2,2.7159998416900635,test,1,z,27284.000158309937,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),100356.59999999404,O,z,2710,,2710.0,1,yes,1,5029.0,95327.59999999404,PRDBZTYFN,PRDBZTYFN,7025,LC,A,,92081.0,1
1,2,3.931999921798706,test,0,m,26068.000078201294,Fri Oct 11 2024 17:09:45 GMT-0500 (Central Daylight Time),101572.89999999851,O,z,1210,,1210.0,2,no,1,6245.30000000447,95327.59999999404,NCWJDZ,NCMJDZ,7025,LC,A,,94797.0,2
