acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),47534.200000047684,O,m,3027,,,5,no,1,4544.700000047684,42989.5,LNDPRSKQB,LNDPRSJQB,7018,LC,B,,,1
2,1,0.0,prac,1,z,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),51549.60000002384,O,z,2492,,,2,yes,1,4009.7999999523163,47539.800000071526,NBGFSM,NBGFSM,7018,LC,B,,,2
3,1,0.0,prac,1,z,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),54615.300000071526,O,z,1535,,,4,yes,1,3062.0,51553.300000071526,RSM,RSM,7018,LC,B,,,3
4,1,0.0,prac,1,m,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),57314.39999997616,O,m,1165,,,1,no,1,2694.5999999046326,54619.800000071526,RNV,FNV,7018,LC,B,,,4
5,1,0.0,prac,1,m,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),60796.60000002384,O,m,1946,,,3,no,1,3477.899999976158,57318.700000047684,QHZXPC,QHZWPC,7018,LC,B,,,5
5,1,0.0,prac,0,z,30000.0,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),64028.700000047684,O,m,1704,,,6,yes,1,3228.0,60800.700000047684,CSDBFPHXZ,CSDBFPHXZ,7018,LC,B,,,6
1,1,1.4169998168945312,test,1,m,28583.00018310547,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),72393.10000002384,O,m,1403,1403,,1,no,1,1411.5,70981.60000002384,HCF,RCF,7018,LC,B,67876,,1
2,1,3.7330000400543213,test,1,m,26266.99995994568,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),74709.0,O,m,2300,2300,,2,no,1,2312.399999976158,72396.60000002384,QTPRJX,QTPNJX,7018,LC,B,69291,,2
2,1,7.914999961853027,test,0,m,22085.000038146973,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),78891.20000004768,O,z,4176,4176,,3,no,1,4178.800000071526,74712.39999997616,MZDYGVGKQ,MZDYGLBKQ,7018,LC,B,71607,,3
3,1,9.297999858856201,test,1,m,20702.0001411438,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),80273.89999997616,O,m,1370,1370,,4,no,1,1379.5999999046326,78894.30000007153,FQTNMK,JQTNMK,7018,LC,B,75789,,4
4,1,11.263000011444092,test,1,z,18736.99998855591,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),82239.80000007153,O,z,1956,1956,,5,yes,1,1962.7000000476837,80277.10000002384,CLJ,CLJ,7018,LC,B,77171,,5
5,1,13.296000003814697,test,1,m,16703.999996185303,Fri Sep 06 2024 11:03:36 GMT-0500 (Central Daylight Time),84272.70000004768,O,m,2021,2021,,6,no,1,2029.8000000715256,82242.89999997616,JGDMNSVPW,JGZMNSVPW,7018,LC,B,79138,,6
