acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),51874.0,I,z,4373,,,2,yes,1,5894.19999999553,45979.80000000447,NBGFSM,NBGFSM,8000,LC,B,,,1
2,1,0.0,prac,1,m,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),58038.89999999851,I,m,4641,,,5,no,1,6158.69999999553,51880.20000000298,LNDPRSKQB,LNDPRSJQB,8000,LC,B,,,2
3,1,0.0,prac,1,m,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),62354.10000000149,I,m,2790,,,3,no,1,4311.0,58043.10000000149,QHZXPC,QHZWPC,8000,LC,B,,,3
4,1,0.0,prac,1,z,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),68135.5,I,z,4259,,,6,yes,1,5777.19999999553,62358.30000000447,CSDBFPHXZ,CSDBFPHXZ,8000,LC,B,,,4
5,1,0.0,prac,1,m,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),71051.10000000149,I,m,1381,,,1,no,1,2911.0,68140.10000000149,RNV,FNV,8000,LC,B,,,5
6,1,0.0,prac,1,z,30000.0,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),74517.20000000298,I,z,1930,,,4,yes,1,3462.0,71055.20000000298,RSM,RSM,8000,LC,B,,,6
1,1,1.315999984741211,test,1,m,28684.00001525879,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),84730.39999999851,I,m,1311,1311,,1,no,1,1311.3999999985099,83419.0,HCF,RCF,8000,LC,B,77080,,1
1,1,3.297999858856201,test,0,m,26702.0001411438,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),86713.20000000298,I,z,1972,1972,,2,no,1,1979.3000000044703,84733.89999999851,QTPRJX,QTPNJX,8000,LC,B,78395,,2
1,1,6.680000066757202,test,0,m,23319.999933242798,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),90095.20000000298,I,z,3373,3373,,3,no,1,3378.8000000044703,86716.39999999851,MZDYGVGKQ,MZDYGLBKQ,8000,LC,B,80378,,3
2,1,8.312999963760376,test,1,m,21687.000036239624,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),91728.30000000447,I,m,1615,1615,,4,no,1,1629.9000000059605,90098.39999999851,FQTNMK,JQTNMK,8000,LC,B,83760,,4
3,1,10.36299991607666,test,1,z,19637.00008392334,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),93777.5,I,z,2029,2029,,5,yes,1,2045.3999999985099,91732.10000000149,CLJ,CLJ,8000,LC,B,85394,,5
4,1,13.92799997329712,test,1,m,16072.00002670288,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),97343.0,I,m,3549,3549,,6,no,1,3562.2999999970198,93780.70000000298,JGDMNSVPW,JGZMNSVPW,8000,LC,B,87442,,6
5,1,17.259999990463257,test,1,z,12740.000009536743,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),100675.10000000149,I,z,3327,3327,,7,yes,1,3328.7000000029802,97346.39999999851,FPTVHKCBJ,FPTVHKCBJ,8000,LC,B,91008,,7
6,1,19.009999990463257,test,1,m,10990.000009536743,Wed Sep 18 2024 10:15:22 GMT-0500 (Central Daylight Time),102424.80000000447,I,m,1731,1731,,8,no,1,1746.7000000029802,100678.10000000149,XRPZBS,ZRPBDH,8000,LC,B,94340,,8
