acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,m,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),34493.60000002384,O,m,1656,,,1,no,1,3160.5,31333.100000023842,RNV,FNV,7004,LC,A,,,1
2,1,0.0,prac,1,z,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),38050.299999952316,O,z,2034,,,2,yes,1,3551.899999976158,34498.39999997616,NBGFSM,NBGFSM,7004,LC,A,,,2
3,1,0.0,prac,1,m,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),41840.799999952316,O,m,2269,,,3,no,1,3777.899999976158,38062.89999997616,QHZXPC,QHZWPC,7004,LC,A,,,3
4,1,0.0,prac,1,m,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),46400.60000002384,O,m,3044,,,5,no,1,4552.300000071526,41848.299999952316,LNDPRSKQB,LNDPRSJQB,7004,LC,A,,,4
5,1,0.0,prac,1,z,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),51125.699999928474,O,z,3213,,,6,yes,1,4718.599999904633,46407.10000002384,CSDBFPHXZ,CSDBFPHXZ,7004,LC,A,,,5
6,1,0.0,prac,1,z,30000.0,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),53931.39999997616,O,z,1284,,,4,yes,1,2794.5,51136.89999997616,RSM,RSM,7004,LC,A,,,6
1,1,2.2380001544952393,test,1,m,27761.99984550476,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),59676.199999928474,O,m,2219,2219,,1,no,1,2227.1999999284744,57449.0,HCF,RCF,7004,LC,A,55532,,1
2,1,4.575000047683716,test,1,m,25424.999952316284,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),62013.39999997616,O,m,2310,2310,,2,no,1,2328.2999999523163,59685.10000002384,QTPRJX,QTPNJX,7004,LC,A,57768,,2
3,1,6.444999933242798,test,1,m,23555.000066757202,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),63884.0,O,m,1847,1847,,3,no,1,1862.5,62021.5,MZDYGVGKQ,MZDYGLBKQ,7004,LC,A,60104,,3
4,1,9.200999975204468,test,1,m,20799.000024795532,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),66639.60000002384,O,m,2736,2736,,4,no,1,2746.2000000476837,63893.39999997616,FQTNMK,JQTNMK,7004,LC,A,61976,,4
5,1,10.871000051498413,test,1,z,19128.999948501587,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),68309.10000002384,O,z,1652,1652,,5,yes,1,1660.6000000238419,66648.5,CLJ,CLJ,7004,LC,A,64732,,5
6,1,12.657000064849854,test,1,m,17342.999935150146,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),70096.0,O,m,1768,1768,,6,no,1,1779.3000000715256,68316.69999992847,JGDMNSVPW,JGZMNSVPW,7004,LC,A,66399,,6
7,1,16.263999938964844,test,1,z,13736.000061035156,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),73702.60000002384,O,z,3588,3588,,7,yes,1,3598.3000000715256,70104.29999995232,FPTVHKCBJ,FPTVHKCBJ,7004,LC,A,68187,,7
8,1,18.10199999809265,test,1,m,11898.000001907349,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),75540.10000002384,O,m,1812,1812,,8,no,1,1828.7000000476837,73711.39999997616,XRPZBS,ZRPBDH,7004,LC,A,71795,,8
9,1,19.55400013923645,test,1,m,10445.99986076355,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),76992.39999997616,O,m,1440,1440,,9,no,1,1443.7000000476837,75548.69999992847,ZSQ,ZSP,7004,LC,A,73631,,9
10,1,21.758000135421753,test,1,z,8241.999864578247,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),79196.60000002384,O,z,2181,2181,,10,yes,1,2196.7000000476837,76999.89999997616,MPZRXL,MPZRXL,7004,LC,A,75083,,10
11,1,23.144999980926514,test,1,m,6855.000019073486,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),80583.60000002384,O,m,1367,1367,,11,no,1,1378.6000000238419,79205.0,KJH,KRH,7004,LC,A,77288,,11
12,1,26.317000150680542,test,1,z,3682.999849319458,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),83755.89999997616,O,z,3147,3147,,12,yes,1,3163.2000000476837,80592.69999992847,SMNHVTFCB,SMNHVTFCB,7004,LC,A,78676,,12
13,1,28.98900008201599,test,1,z,1010.9999179840088,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),86427.89999997616,O,z,2655,2655,,13,yes,1,2662.100000023842,83765.79999995232,KJWTQF,KJWTQF,7004,LC,A,81849,,13
13,1,30.026999950408936,test,0,z,-26.999950408935547,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),87465.5,O,None,1026,1026,,14,yes,1,1028.3999999761581,86437.10000002384,CHDKQGLMB,CHDKQGLMB,7004,LC,A,84520,,14
1,2,3.7899999618530273,test,1,z,26210.000038146973,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),93625.0,O,z,3769,,3769.0,1,yes,1,7187.899999976158,86437.10000002384,PRDBZTYFN,PRDBZTYFN,7004,LC,A,,87926.0,1
2,2,6.395999908447266,test,1,m,23604.000091552734,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),96230.19999992847,O,m,2587,,2587.0,2,no,1,9793.099999904633,86437.10000002384,NCWJDZ,NCMJDZ,7004,LC,A,,91716.0,2
3,2,8.599999904632568,test,1,m,21400.00009536743,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),98434.79999995232,O,m,2192,,2192.0,3,no,1,11997.699999928474,86437.10000002384,KHW,KBW,7004,LC,A,,94320.0,3
4,2,10.936999797821045,test,1,m,19063.000202178955,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),100771.89999997616,O,m,2313,,2313.0,4,no,1,14334.799999952316,86437.10000002384,ZRBGMF,ZRBCMF,7004,LC,A,,96526.0,4
5,2,12.122999906539917,test,1,m,17877.000093460083,Wed Sep 04 2024 15:29:24 GMT-0500 (Central Daylight Time),101957.79999995232,O,m,1160,,1160.0,5,no,1,15520.699999928474,86437.10000002384,BTH,BYH,7004,LC,A,,98864.0,5
