acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),37475.10000002384,O,z,2132,,,2,yes,1,3661.600000023842,33813.5,NBGFSM,NBGFSM,7001,LC,A,,,1
2,1,0.0,prac,1,m,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),39924.39999997616,O,m,920,,,3,no,1,2443.5,37480.89999997616,QHZXPC,QHZWPC,7001,LC,A,,,2
3,1,0.0,prac,1,m,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),42307.0,O,m,849,,,1,no,1,2378.5,39928.5,RNV,FNV,7001,LC,A,,,3
4,1,0.0,prac,1,z,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),44906.10000002384,O,z,1074,,,6,yes,1,2594.8000000715256,42311.299999952316,CSDBFPHXZ,CSDBFPHXZ,7001,LC,A,,,4
5,1,0.0,prac,1,m,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),48188.60000002384,O,m,1747,,,5,no,1,3278.2000000476837,44910.39999997616,LNDPRSKQB,LNDPRSJQB,7001,LC,A,,,5
6,1,0.0,prac,1,z,30000.0,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),50771.0,O,z,1057,,,4,yes,1,2578.3000000715256,48192.699999928474,RSM,RSM,7001,LC,A,,,6
1,1,1.0160000324249268,test,1,m,28983.999967575073,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),60584.699999928474,O,m,999,999,,1,no,1,1013.5999999046326,59571.10000002384,HCF,RCF,7001,LC,A,57919,,1
2,1,2.2990000247955322,test,1,m,27700.999975204468,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),61867.5,O,m,1269,1269,,2,no,1,1279.3999999761581,60588.10000002384,QTPRJX,QTPNJX,7001,LC,A,58937,,2
2,1,3.8980000019073486,test,0,m,26101.99999809265,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),63466.699999928474,O,z,1594,1594,,3,no,1,1595.7999999523163,61870.89999997616,MZDYGVGKQ,MZDYGLBKQ,7001,LC,A,60220,,3
3,1,5.581000089645386,test,1,m,24418.999910354614,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),65149.89999997616,O,m,1668,1668,,4,no,1,1680.2000000476837,63469.699999928474,FQTNMK,JQTNMK,7001,LC,A,61818,,4
4,1,6.54800009727478,test,1,z,23451.99990272522,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),66116.10000002384,O,z,953,953,,5,yes,1,963.0,65153.10000002384,CLJ,CLJ,7001,LC,A,63501,,5
4,1,9.397000074386597,test,0,m,20602.999925613403,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),68965.29999995232,O,z,2842,2842,,6,no,1,2845.899999976158,66119.39999997616,JGDMNSVPW,JGZMNSVPW,7001,LC,A,64468,,6
4,1,12.062999963760376,test,0,z,17937.000036239624,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),71631.10000002384,O,m,2657,2657,,7,yes,1,2662.3000000715256,68968.79999995232,FPTVHKCBJ,FPTVHKCBJ,7001,LC,A,67317,,7
5,1,13.828999996185303,test,1,m,16171.000003814697,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),73397.10000002384,O,m,1751,1751,,8,no,1,1762.5,71634.60000002384,XRPZBS,ZRPBDH,7001,LC,A,69983,,8
6,1,14.711999893188477,test,1,m,15288.000106811523,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),74280.39999997616,O,m,873,873,,9,no,1,879.8999999761581,73400.5,ZSQ,ZSP,7001,LC,A,71749,,9
7,1,15.710999965667725,test,1,z,14289.000034332275,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),75279.89999997616,O,z,989,989,,10,yes,1,995.2999999523163,74284.60000002384,MPZRXL,MPZRXL,7001,LC,A,72633,,10
8,1,16.793999910354614,test,1,m,13206.000089645386,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),76363.0,O,m,1063,1063,,11,no,1,1079.8999999761581,75283.10000002384,KJH,KRH,7001,LC,A,73632,,11
9,1,19.89300012588501,test,1,z,10106.99987411499,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),79462.0,O,z,3083,3083,,12,yes,1,3095.899999976158,76366.10000002384,SMNHVTFCB,SMNHVTFCB,7001,LC,A,74715,,12
10,1,21.39300012588501,test,1,z,8606.99987411499,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),80961.39999997616,O,z,1489,1489,,13,yes,1,1496.2999999523163,79465.10000002384,KJWTQF,KJWTQF,7001,LC,A,77813,,13
11,1,24.22499990463257,test,1,z,5775.000095367432,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),83793.69999992847,O,z,2813,2813,,14,yes,1,2829.0999999046326,80964.60000002384,CHDKQGLMB,CHDKQGLMB,7001,LC,A,79313,,14
12,1,25.04200005531311,test,1,z,4957.99994468689,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),84610.29999995232,O,z,797,797,,15,yes,1,813.2999999523163,83797.0,GHQ,GHQ,7001,LC,A,82145,,15
12,1,26.973999977111816,test,0,z,3026.0000228881836,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),86543.0,O,m,1916,1916,,16,yes,1,1929.6000000238419,84613.39999997616,GFVMRH,GFVMRH,7001,LC,A,82962,,16
13,1,28.124000072479248,test,1,z,1875.999927520752,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),87692.5,O,z,1135,1135,,17,yes,1,1145.8999999761581,86546.60000002384,RSM,RSM,7001,LC,A,84895,,17
14,1,29.924000024795532,test,1,m,75.99997520446777,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),89492.10000002384,O,m,1785,1785,,18,no,1,1795.8000000715256,87696.29999995232,BSRJTRMLG,BSFJTRMLG,7001,LC,A,86045,,18
14,1,30.006999969482422,test,0,z,-6.999969482421875,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),89575.60000002384,O,None,79,79,,19,yes,1,80.5,89495.10000002384,NBGFSM,NBGFSM,7001,LC,A,87844,,19
1,2,2.181999921798706,test,1,z,27818.000078201294,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),95956.60000002384,O,z,2169,,2169.0,1,yes,1,6461.5,89495.10000002384,PRDBZTYFN,PRDBZTYFN,7001,LC,A,,92125.0,1
2,2,3.631999969482422,test,1,m,26368.000030517578,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),97406.29999995232,O,m,1433,,1433.0,2,no,1,7911.199999928474,89495.10000002384,NCWJDZ,NCMJDZ,7001,LC,A,,94309.0,2
3,2,4.480999946594238,test,1,m,25519.00005340576,Thu Sep 05 2024 15:06:50 GMT-0500 (Central Daylight Time),98256.0,O,m,832,,832.0,3,no,1,8760.899999976158,89495.10000002384,KHW,KBW,7001,LC,A,,95758.0,3
