acc_sum,block_c,block_dur,condition,correct,correct_response,countdown,datetime,endtime,project,response,response_time,response_time_test1_response,response_time_test2_response,row_sel,same,session_number,start_end,starttime,stim1,stim2,subject_id,task,task_vers,time_test1,time_test2,trial
1,1,0.0,prac,1,z,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),62207.0,O,z,1625,,,2,yes,1,3160.399999976158,59046.60000002384,NBGFSM,NBGFSM,9999,LC,C,,,1
2,1,0.0,prac,1,m,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),65805.80000001192,O,m,2047,,,5,no,1,3575.199999988079,62230.60000002384,LNDPRSKQB,LNDPRSJQB,9999,LC,C,,,2
3,1,0.0,prac,1,m,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),68037.80000001192,O,m,687,,,1,no,1,2212.300000011921,65825.5,RNV,FNV,9999,LC,C,,,3
4,1,0.0,prac,1,m,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),71004.0,O,m,1421,,,3,no,1,2945.199999988079,68058.80000001192,QHZXPC,QHZWPC,9999,LC,C,,,4
5,1,0.0,prac,1,z,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),73536.39999997616,O,z,993,,,4,yes,1,2512.7999999523163,71023.60000002384,RSM,RSM,9999,LC,C,,,5
6,1,0.0,prac,1,z,30000.0,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),77551.69999998808,O,z,2470,,,6,yes,1,3996.300000011921,73555.39999997616,CSDBFPHXZ,CSDBFPHXZ,9999,LC,C,,,6
1,1,0.9660000801086426,test,1,m,29033.999919891357,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),95979.39999997616,O,m,925,925,,1,no,1,942.2999999523163,95037.10000002384,HCF,RCF,9999,LC,C,93522,,1
2,1,2.366000175476074,test,1,m,27633.999824523926,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),97379.0,O,m,1367,1367,,2,no,1,1385.0,95994.0,QTPRJX,QTPNJX,9999,LC,C,94480,,2
3,1,5.164000034332275,test,1,m,24835.999965667725,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),100177.60000002384,O,m,2774,2774,,3,no,1,2783.800000011921,97393.80000001192,MZDYGVGKQ,MZDYGLBKQ,9999,LC,C,95881,,3
4,1,6.014000177383423,test,1,m,23985.999822616577,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),101027.39999997616,O,m,816,816,,4,no,1,835.5,100191.89999997616,FQTNMK,JQTNMK,9999,LC,C,98679,,4
5,1,6.764000177383423,test,1,z,23235.999822616577,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),101777.0,O,z,720,720,,5,yes,1,735.5,101041.5,CLJ,CLJ,9999,LC,C,99527,,5
6,1,8.11300015449524,test,1,m,21886.99984550476,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),103126.60000002384,O,m,1322,1322,,6,no,1,1336.0,101790.60000002384,JGDMNSVPW,JGZMNSVPW,9999,LC,C,100277,,6
7,1,11.129000186920166,test,1,z,18870.999813079834,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),106142.39999997616,O,z,2988,2988,,7,yes,1,3001.099999964237,103141.30000001192,FPTVHKCBJ,FPTVHKCBJ,9999,LC,C,101627,,7
8,1,13.07800006866455,test,1,m,16921.99993133545,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),108091.80000001192,O,m,1924,1924,,8,no,1,1935.5,106156.30000001192,XRPZBS,ZRPBDH,9999,LC,C,104643,,8
9,1,14.07800006866455,test,1,m,15921.99993133545,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),109091.39999997616,O,m,976,976,,9,no,1,986.0999999642372,108105.30000001192,ZSQ,ZSP,9999,LC,C,106590,,9
10,1,15.91100001335144,test,1,z,14088.99998664856,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),110924.10000002384,O,z,1807,1807,,10,yes,1,1818.2000000476837,109105.89999997616,MPZRXL,MPZRXL,9999,LC,C,107592,,10
11,1,16.794000148773193,test,1,m,13205.999851226807,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),111806.69999998808,O,m,861,861,,11,no,1,868.0999999642372,110938.60000002384,KJH,KRH,9999,LC,C,109425,,11
12,1,21.359000205993652,test,1,z,8640.999794006348,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),116372.19999998808,O,z,4552,4552,,12,yes,1,4561.399999976158,111810.80000001192,SMNHVTFCB,SMNHVTFCB,9999,LC,C,110295,,12
13,1,24.657999992370605,test,1,z,5342.0000076293945,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),119671.0,O,z,3272,3272,,13,yes,1,3285.800000011921,116385.19999998808,KJWTQF,KJWTQF,9999,LC,C,114871,,13
14,1,26.907999992370605,test,1,z,3092.0000076293945,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),121920.5,O,z,2220,2220,,14,yes,1,2235.899999976158,119684.60000002384,CHDKQGLMB,CHDKQGLMB,9999,LC,C,118171,,14
15,1,28.390000104904175,test,1,z,1609.9998950958252,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),123403.30000001192,O,z,1459,1459,,15,yes,1,1469.0,121934.30000001192,GHQ,GHQ,9999,LC,C,120420,,15
15,1,30.02500009536743,test,0,z,-25.00009536743164,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),125038.19999998808,O,None,1619,1619,,16,yes,1,1621.8999999761581,123416.30000001192,GFVMRH,GFVMRH,9999,LC,C,121901,,16
1,2,5.181999921798706,test,1,z,24818.000078201294,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),142130.5,O,z,5151,,5151.0,1,yes,1,18714.19999998808,123416.30000001192,PRDBZTYFN,PRDBZTYFN,9999,LC,C,,135448.0,1
2,2,6.414999961853027,test,1,m,23585.000038146973,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),143363.5,O,m,1215,,1215.0,2,no,1,19947.19999998808,123416.30000001192,NCWJDZ,NCMJDZ,9999,LC,C,,140632.0,2
3,2,7.29800009727478,test,1,m,22701.99990272522,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),144246.5,O,m,857,,857.0,3,no,1,20830.19999998808,123416.30000001192,KHW,KBW,9999,LC,C,,141862.0,3
4,2,8.77999997138977,test,1,m,21220.00002861023,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),145729.30000001192,O,m,1462,,1462.0,4,no,1,22313.0,123416.30000001192,ZRBGMF,ZRBCMF,9999,LC,C,,142745.0,4
5,2,9.596999883651733,test,1,m,20403.000116348267,Wed Aug 28 2024 13:38:30 GMT-0500 (Central Daylight Time),146545.60000002384,O,m,795,,795.0,5,no,1,23129.30000001192,123416.30000001192,BTH,BYH,9999,LC,C,,144228.0,5
